epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4817,1.94753,3.5301,1.40321,0.0036,0.23256,0.05021,0.02194,1.94747,4.06845,1.43553,0.000833333,0.000833333,0.000833333
2,67.4684,2.10962,2.85302,1.36302,0.00441,0.28488,0.10192,0.0402,2.0588,4.02343,1.37161,0.00122833,0.00122833,0.00122833
3,98.9394,1.97131,2.58783,1.32776,0.00437,0.28198,0.06865,0.03276,2.25223,4.04348,1.34571,0.00068,0.00068,0.00068
