epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,23791.9,0.92831,0.59026,1.03448,0.78604,0.68236,0.72167,0.50415,1.12233,0.80528,1.07807,0.000660045,0.000660045,0.000660045
43,24260.3,0.91112,0.58562,1.03357,0.81665,0.71001,0.74031,0.52373,1.12062,0.81743,1.07976,0.000649046,0.000649046,0.000649046
44,24727.1,0.90787,0.57822,1.02893,0.90645,0.63836,0.71269,0.52188,1.13384,0.79188,1.09664,0.000638047,0.000638047,0.000638047
45,25193.3,0.90952,0.5749,1.02638,0.80095,0.69449,0.72693,0.49661,1.13235,0.78796,1.08851,0.000627048,0.000627048,0.000627048
46,25661,0.89834,0.57028,1.02303,0.83103,0.62101,0.68811,0.4995,1.10966,0.75903,1.07628,0.000616049,0.000616049,0.000616049
47,26128.4,0.91139,0.57761,1.02836,0.83625,0.71911,0.76238,0.56393,1.0941,0.76984,1.06772,0.000605051,0.000605051,0.000605051
48,26597.7,0.90911,0.5706,1.02466,0.89216,0.70909,0.74652,0.56196,1.10786,0.77212,1.08568,0.000594052,0.000594052,0.000594052
49,27079.1,0.89492,0.5613,1.02218,0.82763,0.76702,0.77067,0.54826,1.12669,0.76837,1.08829,0.000583053,0.000583053,0.000583053
50,27548.9,0.89962,0.5652,1.02371,0.82688,0.75813,0.75987,0.55572,1.10156,0.74404,1.07947,0.000572054,0.000572054,0.000572054
51,28019.2,0.88056,0.54985,1.01112,0.87933,0.70563,0.7402,0.52462,1.11068,0.77812,1.07997,0.000561055,0.000561055,0.000561055
52,28493.9,0.89584,0.56357,1.01453,0.86545,0.71847,0.74455,0.54097,1.10984,0.76439,1.0808,0.000550056,0.000550056,0.000550056
53,28961.1,0.89127,0.55364,1.02254,0.84572,0.71842,0.75118,0.53255,1.12401,0.76233,1.07487,0.000539057,0.000539057,0.000539057
54,29420.6,0.86516,0.54194,1.0049,0.88551,0.68069,0.73137,0.54814,1.10886,0.78808,1.08151,0.000528058,0.000528058,0.000528058
55,29877.1,0.88728,0.53754,1.01352,0.87506,0.71296,0.75223,0.54539,1.11821,0.76001,1.10928,0.000517059,0.000517059,0.000517059
56,30337,0.87152,0.5405,1.01057,0.85612,0.67242,0.73421,0.54933,1.11714,0.75075,1.08386,0.00050606,0.00050606,0.00050606
57,30794.3,0.88016,0.53944,1.01599,0.89954,0.66113,0.72028,0.53032,1.11429,0.76492,1.07522,0.000495062,0.000495062,0.000495062
58,31249.2,0.86104,0.5316,1.00977,0.81514,0.73265,0.73458,0.5311,1.12495,0.76738,1.07765,0.000484063,0.000484063,0.000484063
59,31705.9,0.87645,0.52898,1.01044,0.85321,0.72303,0.77201,0.56821,1.0801,0.71532,1.0685,0.000473064,0.000473064,0.000473064
60,32160.4,0.85712,0.52107,0.99876,0.76819,0.70869,0.72849,0.55126,1.09597,0.74455,1.08702,0.000462065,0.000462065,0.000462065
61,32615.8,0.86049,0.5184,0.99791,0.63903,0.71354,0.70991,0.5241,1.11407,0.77184,1.08347,0.000451066,0.000451066,0.000451066
62,33069.4,0.85327,0.51994,0.99895,0.90306,0.73087,0.7735,0.55947,1.08707,0.72152,1.07852,0.000440067,0.000440067,0.000440067
63,33515.7,0.86177,0.52306,1.00493,0.81919,0.71416,0.73481,0.55306,1.07885,0.72866,1.06516,0.000429068,0.000429068,0.000429068
64,33963.5,0.86366,0.51986,1.00262,0.9224,0.69818,0.74599,0.54436,1.09699,0.76097,1.06372,0.000418069,0.000418069,0.000418069
65,34411.7,0.84578,0.51159,0.9949,0.78162,0.72726,0.72296,0.54034,1.0885,0.76523,1.06808,0.00040707,0.00040707,0.00040707
66,34865.1,0.84417,0.5098,0.99755,0.90043,0.70439,0.74705,0.57029,1.08158,0.74092,1.06922,0.000396071,0.000396071,0.000396071
67,35322.6,0.83559,0.50078,0.99097,0.87528,0.7425,0.77503,0.56006,1.07692,0.71768,1.06641,0.000385073,0.000385073,0.000385073
68,35780,0.85301,0.50484,0.99395,0.93979,0.71374,0.75309,0.58683,1.08189,0.7383,1.05983,0.000374074,0.000374074,0.000374074
69,36239.3,0.83898,0.49444,0.98833,0.85657,0.7252,0.76038,0.57524,1.07813,0.72693,1.0676,0.000363075,0.000363075,0.000363075
70,36696.2,0.83428,0.49527,0.98794,0.88576,0.73747,0.77598,0.5784,1.06756,0.70541,1.05955,0.000352076,0.000352076,0.000352076
71,37152.6,0.8337,0.49733,0.98969,0.9104,0.70365,0.76232,0.57224,1.0882,0.7194,1.05867,0.000341077,0.000341077,0.000341077
72,37607.6,0.81963,0.48968,0.98502,0.82512,0.71041,0.74728,0.57022,1.06849,0.74944,1.05174,0.000330078,0.000330078,0.000330078
73,38061.4,0.82151,0.49029,0.99011,0.90213,0.71979,0.76749,0.58123,1.08403,0.70502,1.07076,0.000319079,0.000319079,0.000319079
74,38516,0.82297,0.48748,0.98456,0.91779,0.71333,0.7662,0.5787,1.06939,0.72815,1.06049,0.00030808,0.00030808,0.00030808
75,38970.5,0.81141,0.4863,0.98443,0.91154,0.6965,0.76419,0.57589,1.07401,0.70158,1.05983,0.000297081,0.000297081,0.000297081
76,39424.5,0.82119,0.47666,0.97949,0.89143,0.71246,0.7649,0.5733,1.0728,0.72047,1.05723,0.000286083,0.000286083,0.000286083
77,39879.6,0.80467,0.46648,0.97226,0.89829,0.71753,0.76695,0.58082,1.07375,0.70615,1.0683,0.000275084,0.000275084,0.000275084
78,40335.1,0.81382,0.47155,0.97633,0.85894,0.7524,0.77123,0.57962,1.06728,0.71077,1.05284,0.000264085,0.000264085,0.000264085
79,40789.1,0.79701,0.47122,0.97828,0.87759,0.72976,0.75912,0.58117,1.06027,0.72722,1.0462,0.000253086,0.000253086,0.000253086
80,41243.7,0.81433,0.47378,0.97952,0.80504,0.74158,0.75203,0.57852,1.06619,0.72887,1.05236,0.000242087,0.000242087,0.000242087
81,41697.2,0.79453,0.45891,0.97498,0.85918,0.71843,0.7622,0.57966,1.06914,0.71058,1.05426,0.000231088,0.000231088,0.000231088
82,42150.7,0.81143,0.46964,0.97933,0.87187,0.73391,0.75842,0.57348,1.06993,0.70852,1.06486,0.000220089,0.000220089,0.000220089
83,42603.7,0.78713,0.4638,0.97386,0.91438,0.72938,0.7719,0.57966,1.06886,0.70926,1.05996,0.00020909,0.00020909,0.00020909
84,43056.1,0.79767,0.45884,0.97351,0.86308,0.75112,0.76592,0.57553,1.06844,0.728,1.05279,0.000198091,0.000198091,0.000198091
85,43505.9,0.78934,0.46089,0.97168,0.84893,0.75941,0.76106,0.5788,1.08246,0.72515,1.07151,0.000187092,0.000187092,0.000187092
86,43959.8,0.78991,0.45633,0.96795,0.90966,0.72184,0.75878,0.57326,1.08199,0.72266,1.07597,0.000176094,0.000176094,0.000176094
87,44413,0.77614,0.44562,0.96557,0.83315,0.75367,0.76604,0.57401,1.07125,0.71053,1.06436,0.000165095,0.000165095,0.000165095
88,44867.4,0.78905,0.45089,0.97163,0.89575,0.73097,0.76395,0.57378,1.06476,0.72277,1.05714,0.000154096,0.000154096,0.000154096
89,45323,0.77964,0.44746,0.96742,0.88351,0.71102,0.76442,0.56429,1.0632,0.71656,1.05702,0.000143097,0.000143097,0.000143097
90,45777.3,0.77425,0.44657,0.9661,0.89503,0.71528,0.7747,0.56394,1.06916,0.70062,1.05183,0.000132098,0.000132098,0.000132098
91,46228,0.74988,0.39617,0.94889,0.9253,0.69597,0.76245,0.5659,1.07332,0.71773,1.05953,0.000121099,0.000121099,0.000121099
92,46678.8,0.73948,0.38865,0.9397,0.87384,0.71066,0.76286,0.57432,1.07831,0.7058,1.06563,0.0001101,0.0001101,0.0001101
93,47129,0.73247,0.3866,0.93878,0.85631,0.71644,0.74665,0.57572,1.07444,0.70972,1.06816,9.91012e-05,9.91012e-05,9.91012e-05
94,47579.5,0.73376,0.38191,0.93537,0.82486,0.73023,0.76059,0.57675,1.07656,0.7267,1.06216,8.81023e-05,8.81023e-05,8.81023e-05
95,48029.4,0.73354,0.38342,0.93527,0.8339,0.72455,0.7523,0.57592,1.06854,0.70655,1.05646,7.71034e-05,7.71034e-05,7.71034e-05
96,48479.7,0.72019,0.3711,0.92871,0.81567,0.72772,0.75403,0.57153,1.06894,0.70384,1.06106,6.61045e-05,6.61045e-05,6.61045e-05
97,48930.4,0.71968,0.36931,0.93643,0.88403,0.71508,0.7618,0.58979,1.05943,0.7047,1.05904,5.51056e-05,5.51056e-05,5.51056e-05
98,49380.4,0.72427,0.3744,0.93008,0.93024,0.7067,0.76778,0.58157,1.06839,0.70154,1.06136,4.41067e-05,4.41067e-05,4.41067e-05
99,49829.9,0.70872,0.36792,0.92403,0.93145,0.70988,0.76632,0.57885,1.06811,0.70005,1.06446,3.31078e-05,3.31078e-05,3.31078e-05
100,50279,0.71683,0.36851,0.93023,0.92687,0.69685,0.75763,0.58269,1.06683,0.70463,1.06139,2.21089e-05,2.21089e-05,2.21089e-05
